station_id,violent_crime,murder,rape,robbery,assault,property_crime,theft,vehicle_theft,station_name
1,69,4,14,7,44,370,276,27,Accomack County Sheriff Office
2,97,1,26,12,58,1604,1355,49,Albemarle County Police Department
3,280,4,25,142,109,2983,2457,267,Alexandria Police Dept
4,38,2,18,4,14,364,305,19,Amherst County Sheriff Office
5,314,1,37,111,165,3521,3175,142,Arlington County Police Department
6,99,4,17,6,72,795,588,42,Augusta County Sheriff Office
7,53,2,8,5,38,632,399,28,Bedford County Sheriff Office
8,32,2,14,3,13,392,311,15,Blacksburg Police Dept
9,31,1,7,1,22,259,212,7,Botetourt County Sheriff Office
10,54,1,5,8,40,483,415,19,Bristol Police Dept
11,82,2,23,9,48,713,534,34,Campbell County Sheriff Office
12,34,0,13,3,18,372,304,4,Caroline County Sheriff Office
13,27,1,6,1,19,304,157,22,Carroll County Sheriff Office
14,192,5,17,39,131,1358,1101,83,Charlottesville Police Dept
15,999,10,68,180,741,6429,5126,290,Chesapeake Police Dept
16,422,8,81,150,183,6373,4869,176,Chesterfield County Police Department
17,21,0,8,3,10,461,410,9,Christiansburg Police Dept
18,38,0,8,14,16,867,773,14,Colonial Heights Police Dept
19,30,5,4,3,18,186,136,15,Culpeper County Sheriff Office
20,41,1,8,13,19,479,453,9,Culpeper Town Police Dept
21,192,3,24,58,107,1773,1324,60,Danville Police Dept
22,71,1,18,3,49,355,262,15,Dinwiddie County Sheriff Department
23,18,0,2,8,8,446,395,21,Fairfax (City) Police Dept
24,969,10,159,400,400,14603,12938,748,Fairfax County Police Department
25,18,0,3,8,7,221,197,8,Falls Church Police Dept
26,27,1,10,1,15,428,350,25,Fauquier County Sheriff Office
27,20,1,8,1,10,219,168,14,Fluvanna County Sheriff Department
28,51,1,14,0,36,460,334,31,Franklin County Sheriff Office
29,91,2,42,20,27,1507,1156,73,Frederick County Sheriff Office
30,131,0,13,24,94,1202,1088,37,Fredericksburg Police Dept
31,23,0,16,4,3,422,386,19,Front Royal Police Dept
32,37,0,13,6,18,549,456,27,Gloucester County Sheriff Office
33,35,2,20,0,13,297,188,29,Halifax County Sheriff Department
34,349,10,33,111,195,4441,3598,229,Hampton Police Dept
35,108,2,12,11,83,981,863,35,Hanover
36,103,0,21,11,71,1154,898,28,Harrisonburg Police Dept
37,502,10,28,183,281,7818,6410,295,Henrico County Police Dept
38,115,2,13,28,72,1176,844,67,Henry County Sheriff Office
39,48,0,3,16,29,313,274,11,Herndon Police Dept
40,84,3,4,27,50,680,498,46,Hopewell Police Dept
41,88,1,28,19,40,1050,883,27,James City County Police Department
42,29,1,10,4,14,314,230,18,King George County Sheriff Office
43,59,2,13,11,33,729,659,16,Leesburg Police Dept
44,221,3,51,41,126,2607,2322,112,Loudoun County Sheriff Office
45,62,1,9,6,46,572,435,57,Louisa County Sheriff Office
46,371,6,32,56,277,2001,1490,106,Lynchburg Police Dept
47,139,1,18,44,76,727,599,31,Manassas Police Dept
48,25,0,5,7,13,152,122,7,Manassas Park Police Dept
49,49,2,6,12,29,388,312,19,Martinsville Police Dept
50,42,0,11,2,29,351,245,15,Montgomery County Sheriff Office
51,782,25,72,231,454,5552,4310,326,Newport News Police Dept
52,1285,31,126,392,736,9696,7878,505,Norfolk Police Dept
53,22,2,6,2,12,280,222,17,Orange County Sheriff Office
54,193,14,7,71,101,843,554,51,Petersburg Police Dept
55,41,1,16,6,18,413,253,13,Pittsylvania County Sheriff Office
56,11,0,3,0,8,92,66,8,Poquoson Police Dept
57,588,9,51,175,353,4863,3318,319,Portsmouth Police Dept
58,21,1,6,0,14,293,227,10,Powhatan County Sheriff Office
59,42,1,11,8,22,364,292,16,Prince George County Police Department
60,773,7,99,205,462,5901,4965,291,Prince William County Police Department
61,104,0,22,7,75,373,291,8,Radford Police Dept
62,1264,43,43,568,610,8426,5998,738,Richmond (City) Bureau Of Police
63,340,3,35,89,213,4136,3394,184,Roanoke (City) Police Dept
64,118,0,19,14,85,1241,1011,34,Roanoke County Police Department
65,63,2,19,6,36,441,292,7,Rockingham County Sheriff Department
66,29,0,7,11,11,501,448,21,Salem Police Dept
67,53,1,13,0,39,241,195,5,Shenandoah
68,213,3,22,44,144,1975,1631,51,Spotsylvania County Sheriff Office
69,243,1,56,30,156,2111,1842,105,Stafford County Sheriff Office
70,31,1,6,14,10,592,510,14,Staunton Police Dept
71,234,3,35,55,141,2251,1819,85,Suffolk Police Dept
72,65,1,14,6,44,435,307,26,Tazewell County Sheriff Office
73,8,0,0,0,8,164,146,4,Vienna Police Dept
74,667,17,115,250,285,9865,8448,366,Virginia Beach Police Dept
75,48,4,7,7,30,820,642,29,Washington County Sheriff Office
76,33,1,12,4,16,655,545,26,Waynesboro Police Dept
77,25,0,1,7,17,180,167,5,Williamsburg Police Dept
78,86,0,34,16,36,1085,938,33,Winchester Police Dept
79,48,1,23,4,20,439,320,33,Wise County Sheriff Office
80,93,3,27,29,34,1121,981,29,York County Sheriff Office